Amber Apartments,108 Hickory Ln,Villa Grove, IL 61956,217-347-5918,,Category:,Real Estate - Property Management
Ameriplumb Plumbing Htg & A C,Villa Grove, IL 61956,217-832-8100,,Category:,Air Conditioning &Amp; Heating Service &Amp; Repair
ATM,102 E Harrison St,Villa Grove, IL 61956,,Category:,Automated Teller Machine (Atm)
ATM,18 S Main St,Villa Grove, IL 61956,,Category:,Automated Teller Machine (Atm)
ATM,11 S Main St,Villa Grove, IL 61956,,Category:,Automated Teller Machine (Atm)
ATM,212 N Sycamore St,Villa Grove, IL 61956,,Category:,Automated Teller Machine (Atm)
ATM,304 S Sycamore St,Villa Grove, IL 61956,,Category:,Automated Teller Machine (Atm)
ATM,9 S Main St,Villa Grove, IL 61956,,Category:,Automated Teller Machine (Atm)
Boyer & Sappenfield Investment Advisors,1 N Sycamore St,Villa Grove, IL 61956,217-832-3033,,Category:,Financial Planning Consultants &Amp; Services
Bp Service Stations,16 E Monroe Ave,Villa Grove, IL 61956,217-832-9331,,Category:,Automobile Dealers Used Cars
Bud's Auto Parts,104 N Main St,Villa Grove, IL 61956,217-832-2500,,Category:,Automobile Parts &Amp; Supplies New
Burnett's Tree Service,206 W Harrison St,Villa Grove, IL 61956,217-832-8555,,Category:,Tree Services
Cache Resale Shop,4 N Main St,Villa Grove, IL 61956,217-390-9621,,Category:,Thrift Stores
Camargo Bank,515 Vine St,Villa Grove, IL 61956,217-832-2061,,Category:,Banking Services
Camargo Township District Library,14 N Main St,Villa Grove, IL 61956,217-832-5211,,Category:,Libraries Public
Camargo Township Ofc,8 S Main St,Villa Grove, IL 61956,217-832-8133,,Category:,Government Offices Local
Camargo Township Office,1 N Main St,Villa Grove, IL 61956,217-832-8133,,Category:,Government Offices Local
Carle Arrow Ambulance,1018 N Sycamore St,Villa Grove, IL 61956,217-681-1016,,Category:,Ambulance Service
Carle Arrow Ambulance,1018 N Sycamore St,Villa Grove, IL 61956,217-832-8567,,Category:,Ambulance Service
Carle Arrow Ambulance,13 W Jefferson St,Villa Grove, IL 61956,217-356-3429,,Category:,Ambulance Service
Casey's General Store,304 S Sycamore St,Villa Grove, IL 61956,217-832-8547,,Category:,Convenience Stores
Central Il Mutual Insurance,1545 N State Route 130,Villa Grove, IL 61956,217-832-2211,,Category:,Insurance
Champaign Partners LLC,Villa Grove, IL 61956,217-832-9281,,Category:,Radio Stations &Amp; Broadcasting Companies
Charles Helm Trucking,1801 E County Road 1450 N,Villa Grove, IL 61956,217-832-9234,,Category:,Trucking General
Chester R Keller Atty,7 N Main St,Villa Grove, IL 61956,217-832-3701,,Category:,Attorneys
Chief Bauer Heating & Air Conditioning,Villa Grove, IL 61956,217-832-3811,,Category:,Heating &Amp; Ventilating Contractors
Chris Cycle Center,508 Crawford Ave,Villa Grove, IL 61956,217-832-3496,,Category:,Motorcycle &Amp; Motor Scooter Repair &Amp; Service
Circle K,212 N Sycamore St,Villa Grove, IL 61956,217-832-2432,,Category:,Groceries
City of Villa Grove,610 Front St,Villa Grove, IL 61956,217-832-9445,,Category:,Senior Citizen Centers &Amp; Services
City of Villa Grove,612 Front St,Villa Grove, IL 61956,217-832-4721,,Category:,Utilities - Gas, Water &Amp; Electric
City of Villa Grove City Garage,116 N Main St,Villa Grove, IL 61956,217-832-2521,,Category:,Police &Amp; Law Enforcement
City of Villa Grove City Garage,3 W Jefferson St,Villa Grove, IL 61956,217-832-8500,,Category:,Fire Departments
Community Care Systems Inc,11 W Madison Ave,Villa Grove, IL 61956,217-832-7042,,Category:,Home Service Domestic Care
Cornerstone Baptist Church,10 W Jefferson St,Villa Grove, IL 61956,217-832-2233,,Category:,Churches Baptist
Country Place Apts,227 Country Pl,Villa Grove, IL 61956,217-832-9226,,Category:,Apartment Referral Service
Cross Construction,1 N Sycamore St,Villa Grove, IL 61956,217-892-2012,,Category:,Asphalt &Amp; Asphalt Products
Cross Construction Inc,1 N Sycamore St,Villa Grove, IL 61956,217-832-8305,,Category:,Construction Management
Crossroads Fellowship,19 N Main St,Villa Grove, IL 61956,217-832-2023,,Category:,Churches
Cruiseone Specialist,408 Mccoy Cir,Villa Grove, IL 61956,866-832-3409,,Category:,Travel &Amp; Tourism
Dale's Jewelry,6 S Main St,Villa Grove, IL 61956,217-832-9613,,Category:,Jewelry Retail
Darby's Plumbing Inc,608 E Walnut St,Villa Grove, IL 61956,217-832-2383,,Category:,Plumbing Contractors
Deb's Cafe,17 S Main St,Villa Grove, IL 61956,217-832-2200,,Category:,Restaurants
Dollar General,700 S Sycamore St,Villa Grove, IL 61956,217-253-8110,,Category:,Groceries
Dowler Chiropractic,402 Front St,Villa Grove, IL 61956,217-832-2191,,Category:,Chiropractors
El Rancho Grande,17 S Main St,Villa Grove, IL 61956,217-681-1889
Exxon,210 N Sycamore St,Villa Grove, IL 61956,217-832-9528,,Category:,Supermarkets &Amp; Super Stores
Ezell Excavating,1574 County Road 100 N,Villa Grove, IL 61956,217-832-9066,,Category:,Excavating Contractors
Ezell Excavating,1574 County Road 100 N,Villa Grove, IL 61956,217-202-2518,,Category:,Excavating Contractors
Fairland Auto,3 S Sycamore St,Villa Grove, IL 61956,217-832-3200
First Christian Church,701 N Sycamore St,Villa Grove, IL 61956,217-832-5231,,Category:,Churches Christian
Four Oaks Inn,73 Willow Ln,Villa Grove, IL 61956,217-832-9313,,Category:,Inns
Furste Auto,1710 E County Road 1450 N,Villa Grove, IL 61956,217-832-3149,,Category:,Automobile Parts &Amp; Supplies New
Gemini Cinemas of Villa Grove,17 N Main St,Villa Grove, IL 61956,217-832-5300,,Category:,Movie Theaters
Gire Construction,101 N Sycamore St,Villa Grove, IL 61956,217-832-9427,,Category:,Roofing Contractors
Gire Equipment Leasing Inc,101 N Sycamore St,Villa Grove, IL 61956,217-832-9427,,Category:,Leasing Service
Help At Home,8 S Main St,Villa Grove, IL 61956,217-832-3420,,Category:,Home Health Services
Hillard Agency Insurance & Real Estate,9 N Main St,Villa Grove, IL 61956,217-832-2411,,Category:,Insurance
Holmes Publications,5 S Main St,Villa Grove, IL 61956,217-832-4201,,Category:,Printers
Jason Reedy,15 N Deer Lk,Villa Grove, IL 61956,217-681-1107
John Carmack,1025 N County Road 1465 E,Villa Grove, IL 61956,217-253-4197
Joines Funeral Home,1375 N State Route 130,Villa Grove, IL 61956,217-832-8322,,Category:,Funeral Director Service
Jones William J,1 S Main St,Villa Grove, IL 61956,217-832-7011,,Category:,Dentists
Jr's Lounge,18 S Main St,Villa Grove, IL 61956,217-832-8240,,Category:,Restaurants
Keller Chester R,7 N Main St,Villa Grove, IL 61956,217-832-3701,,Category:,Attorneys
King Music Instrument Repair,7 W Madison Ave,Villa Grove, IL 61956,217-832-5070,,Category:,Musical Instrument Repair
Lake Fabrications Inc,4 S Sycamore St,Villa Grove, IL 61956,217-832-2761,,Category:,Welding
Leaf IT to US,1209 Industrial Dr,Villa Grove, IL 61956,217-681-1101
Leaf IT to US Total Tree Care Plus,106 Po Box,Villa Grove, IL 61956,217-621-7911,,Category:,Tree Services
Leon Optometric Clinic,10 W Adams Ave,Villa Grove, IL 61956,217-832-2111,,Category:,Optometrists Od
Little Dozing Service Inc,1591 E County Road 1050 N,Villa Grove, IL 61956,217-832-9511,,Category:,Excavating Contractors
Living Hope Fellowship,10 W Jefferson St,Villa Grove, IL 61956,217-832-4531,,Category:,Churches Nondenominational
Loman Ray Insurance,15 S Main St,Villa Grove, IL 61956,217-832-4141,,Category:,Insurance
Mahindra D Patel MD,6 N Main St,Villa Grove, IL 61956,217-832-2081,,Category:,Physicians &Amp; Surgeons Md
Mako Mechanical Inc,1283 N State Route 130,Villa Grove, IL 61956,217-202-3279,,Category:,Air Conditioning Contractors
Mobil,212 N Sycamore St,Villa Grove, IL 61956,217-832-2432,,Category:,Gasoline Stations
Monical's Pizza,15 W Madison Ave,Villa Grove, IL 61956,217-832-2381,,Category:,Restaurants Pizza
Monical's Pizza,102 N Sycamore St,Villa Grove, IL 61956,217-832-2361,,Category:,Restaurants Pizza
Nils Oberg Consulting,414 Mccoy Cir,Villa Grove, IL 61956,217-832-8333,,Category:,Computer Dealers
Paul's Machine,650 N Sycamore St,Villa Grove, IL 61956,217-832-2541,,Category:,Welding
Phillip W Jones DDS,1 S Main St,Villa Grove, IL 61956,217-832-7011,,Category:,Dentists
Picture IT Sold,6 N Main St,Villa Grove, IL 61956,217-832-2897
Pizzola Alicia,12 Beech Ln,Villa Grove, IL 61956,217-832-3241,,Category:,Tax Return Preparation &Amp; Filing
Pizzola Alicia,209 N Sycamore St,Villa Grove, IL 61956,217-832-3241,,Category:,Tax Return Preparation &Amp; Filing
Precision Locators Llc,3 E Monroe Ave,Villa Grove, IL 61956,217-832-8378,,Category:,Business Brokers
Pruitt Sherry,310 S Spruce St,Villa Grove, IL 61956,217-832-2026
R C's Plumbing Heating & Air Conditioning,1283 N State Route 130,Villa Grove, IL 61956,217-832-9744,,Category:,Plumbing Contractors
Rick's Country Market,10 E Harrison St,Villa Grove, IL 61956,217-832-8115,,Category:,Groceries
Roofs by Rodger,11 N Main St,Ste A,Villa Grove, IL 61956,217-832-2450,,Category:,Roofing Contractors
Sacred Heart Church,208 N Pine St,Villa Grove, IL 61956,217-832-8402,,Category:,Churches Catholic
Sacred Heart Church,206 N Pine St,Villa Grove, IL 61956,217-832-8352,,Category:,Churches Roman Catholic
Sacred Hearts Catholic Church,206 S Pine St,Villa Grove, IL 61956,217-832-2010,,Category:,Churches Catholic
Sigler Farms,1711 E County Road 1450 N,Villa Grove, IL 61956,217-493-3385,,Category:,Fruit &Amp; Vegetable Growers &Amp; Shippers
Simple Life Wine Company,211 N Sycamore St,Villa Grove, IL 61956,217-832-2662,,Category:,Bar Fixtures &Amp; Equipment
Sojka,6 Matteson Dr,Villa Grove, IL 61956,217-832-2041
Solid Surface Creations,403 S Sycamore St,Villa Grove, IL 61956,217-832-8207,,Category:,Cabinets Retail
Steve A Leon, OD,10 W Adams Ave,Villa Grove, IL 61956,217-832-2111,,Category:,Optometrists Od
Subway,10 N Sycamore St,Villa Grove, IL 61956,217-832-3304,,Category:,Restaurants
Super Pantry 45,212 N Sycamore St,Villa Grove, IL 61956,217-832-9528,,Category:,Gasoline Stations
Super Pantry 45,210 N Sycamore St,Villa Grove, IL 61956,217-832-9528,,Category:,Groceries
The Four Way Stop,102 E Harrison St,Villa Grove, IL 61956,217-832-9408,,Category:,Restaurants


The Peace Meal,610 Front St,Villa Grove, IL 61956,217-832-9445,,Category:,Senior Citizen Service &Amp; Health Organizations
Thomas Electric,1 N Oak St,Villa Grove, IL 61956,217-832-9463,,Category:,Contractors Electric
Tommys Resale Shop,8 S Main St,Villa Grove, IL 61956,217-832-8294,,Category:,Resale Shops
Tri-City Country Club,129 S Henson Rd,Villa Grove, IL 61956,217-832-9782,,Category:,Clubs
True Value,7 N Sycamore St,Villa Grove, IL 61956,217-832-8123,,Category:,Hardware Retail
U-Haul Neighborhood Dealer,4 N Main St,Villa Grove, IL 61956,217-832-2773,,Category:,Truck Renting &Amp; Leasing
United Pentecostal Church,1 S Pine St,Villa Grove, IL 61956,217-832-7071,,Category:,Churches Pentecostal
United States Postal Service,110 N Main St,Villa Grove, IL 61956,217-832-4501,,Category:,Post Offices
Vango,Villa Grove, IL 61956,217-328-6942,,Category:,Wallpaper &Amp; Wallcovering Installation
Veterans of Foreign Wars,9 S Main St,Villa Grove, IL 61956,217-832-3051,,Category:,Clubs
Villa Grove City Police Department,116 N Main St,Villa Grove, IL 61956,217-832-2521,,Category:,Police &Amp; Law Enforcement
Villa Grove First,6 E Harrison St,Villa Grove, IL 61956,217-832-8179,,Category:,Banks
Villa Grove Food's,10 E Harrison St,Villa Grove, IL 61956,217-832-8113,,Category:,Groceries
Villa Grove High School,400 N Sycamore St,Villa Grove, IL 61956,217-832-2261,,Category:,Schools
Villa Grove Pharmacy,2 S Main St,Villa Grove, IL 61956,217-681-1025,,Category:,Pharmacies
Villa Grove Pharmacy,4 N Main St,Villa Grove, IL 61956,217-681-1025,,Category:,Pharmacies
Villa Grove State Bank,10 N Main St,Villa Grove, IL 61956,217-832-2631,,Category:,Loans
Villa Grove State Bank,10 N Main St,Villa Grove, IL 61956,217-832-9431
Villa Grove United Methodist Church,302 2nd St,Villa Grove, IL 61956,217-832-3971,,Category:,Churches Methodist
Watson Jeffery,198 County Road 1700 E,Villa Grove, IL 61956,217-684-2039
Westridge Agri Service,418 Mccoy Cir,Villa Grove, IL 61956,217-832-9713,,Category:,Soil Services
William J Jones DDS,1 S Main St,Villa Grove, IL 61956,217-832-7011,,Category:,Dentists
Your Vase or Mine,11 N Main St,Ste B,Villa Grove, IL 61956,217-832-3052,,Category:,Florists


